0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,page
No,Category,,Salary,,Group,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum,225
,,,Code,,,,Step,,,,slab,,,,slab,,,,slab,,,225
24,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,III,"65,880",,,13,"1,190",,,,,,,,,,,"81,350",225
25,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,II,"67,070",,,12,"1,190",,,,,,,,,,,"81,350",225
26,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,I,"68,260",,,11,"1,190",,,,,,,,,,,"81,350",225
27,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,Special,"69,450",,,10,"1,190",,,,,,,,,,,"81,350",225
28,Cadet,"Fixed
Salary",,,,"54,670",,,,,,,,,,,,,,,"54,670",225
29,Mid Shipman,"Fixed
Salary",,,,"55,340",,,,,,,,,,,,,,,"55,340",225
30,"2nd Lieutenant (cadet)/ Pilot Officer
(cadet)","Fixed
Salary",,,,"65,880",,,,,,,,,,,,,,,"65,880",225
31,"2nd Lieutenant (non cadet)/ Pilot
Officer (non cadet)","Fixed
Salary",,,,"71,830",,,,,,,,,,,,,,,"71,830",225
32,"Lieutenant / Sub Lieutenant/Flying
Officer",R 1-2025,,,,"82,150",,,30,"2,400",,,,,,,,,,,"154,150",225
33,Quarter Master,R 2-2025,,,,"84,550",,,30,"2,400",,,,,,,,,,,"156,550",225
34,Captain/Lieutenant/Flight Lieutenant,R 3-2025,,,,"96,550",,,24,"2,400",,,,,,,,,,,"154,150",225
35,"Major/Lieutenant
Commander/Squadron Leader",R 4-2025,,,,"106,150",,,22,"2,400",,,,,,,,,,,"158,950",225
36,"Lieutenant Colonel/Commander/Wing
Commander",R 5-2025,,,,"109,090",,,17,"2,940",,,,,,,,,,,"159,070",225
37,Colonel/Captain/Group Captain,R 6-2025,,,,"133,570",,,17,"3,900",,,,,,,,,,,"199,870",225
