0,1,2,3,4,5,page
,Item,,,Rs. Billion,,160
,Total Receipts other than Government Borrowings,,,"5,042",,160
,Total Primary Expenditure,,,"4,285",,160
,Recurrent,,,"2,970",,160
,Capital,,,"1,315",,160
,Debt Service Payments,,,"4,550",,160
,Interest Payments,,,"2,950",,160
,Debt Repayments,,,"1,600",,160
,Provision for Advanced Accounts,,,7,,160
,Adjustments for book/cash Value of Government Securities,,,200,,160
"Total Gross Borrowing Requirement to be recorded in
Government Accounts",,,"4,000",,,160
