0,1,2,3,4,5,page,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Item,,,Rs. Billion,,160,,,,,,,,,,,,,,,,
,Total Receipts other than Government Borrowings,,,"5,042",,160,,,,,,,,,,,,,,,,
,Total Primary Expenditure,,,"4,285",,160,,,,,,,,,,,,,,,,
,Recurrent,,,"2,970",,160,,,,,,,,,,,,,,,,
,Capital,,,"1,315",,160,,,,,,,,,,,,,,,,
,Debt Service Payments,,,"4,550",,160,,,,,,,,,,,,,,,,
,Interest Payments,,,"2,950",,160,,,,,,,,,,,,,,,,
,Debt Repayments,,,"1,600",,160,,,,,,,,,,,,,,,,
,Provision for Advanced Accounts,,,7,,160,,,,,,,,,,,,,,,,
,Adjustments for book/cash Value of Government Securities,,,200,,160,,,,,,,,,,,,,,,,
"Total Gross Borrowing Requirement to be recorded in
Government Accounts",,,"4,000",,,160,,,,,,,,,,,,,,,,
Category,"Present
basic salary",Increase,"New basic
salary",,,171,,,,,,,,,,,,,,,,
Public sector,"24,250","15,750","40,000",,,171,,,,,,,,,,,,,,,,
Universities,"27,025","15,750","42,775",,,171,,,,,,,,,,,,,,,,
Other SOEs,"24,750","15,750","40,500",,,171,,,,,,,,,,,,,,,,
,Public Sector,,Universities,,SOEs,173,,,,,,,,,,,,,,,,
,Present,New,Present,New,Present,173,New,,,,,,,,,,,,,,,
Basic salary,"24,250","40,000","27,025","42,775","24,750",173,"40,500",,,,,,,,,,,,,,,
"Interim allowance as per PA circular
No.09/2019","2,500",-,-,-,-,173,-,,,,,,,,,,,,,,,
"Monthly allowance as per PA circular
No.03/2022","5,000",-,"5,000",-,"5,000",173,-,,,,,,,,,,,,,,,
Cost of Living Allowance (COLA),"17,800","17,800","17,800","17,800","17,800",173,"17,800",,,,,,,,,,,,,,,
"Monthly
Compensation Allowance (MCA)",-,-,"12,161","15,399",-,173,-,,,,,,,,,,,,,,,
"Monthly
Compensation Allowance (MCA)(fixed)",,,,(330),,173,,,,,,,,,,,,,,,,
Backlog allowance,-,-,"5,405",-,-,173,-,,,,,,,,,,,,,,,
Total gross salary,"49,550","57,800","67,391","75,644","47,550",173,"58,300",,,,,,,,,,,,,,,
Net salary increase,"8,250",,"8,253",,"10,750",173,,,,,,,,,,,,,,,,
"Monthly
Net Salary
Increase",Monthly Payments,,,,,175,,,,,,,,,,,,,,,,
,From April 2025,From January 2026,"From January
2027",,,175,,,,,,,,,,,,,,,,
"Rs.8,250","Rs.5,975
(i.e.5,000+975)
(Rs.5,000 +(8250-5,000)
*30%)","Rs.7,113
(i.e.5,000+2,113)
(Rs.5,000 +(8,250-5,000)
*65%)","Rs.8,250",,,175,,,,,,,,,,,,,,,,
"Rs.10,000","Rs.6,500
(i.e.5,000+1,500)
(Rs.5,000+(10,000-5,000)
*30%)","Rs.8,250 (i.e.
5,000+3,250)
(Rs.5,000+(10,000-5,000)
*65%)","Rs.10,000",,,175,,,,,,,,,,,,,,,,
"Rs.15,000","Rs.8,000
(i.e.5,000+3,000)
(Rs.5,000+(15,000-5,000)
*30%)","Rs.11,500
(i.e.5,000+6,500)
(Rs.5,000+(15,000-5,000)
*65%)","Rs.15,000",,,175,,,,,,,,,,,,,,,,
"Rs.25,000","Rs.11,000
(i.e.5,000+6,000)
(Rs.5,000+(25,000-5,000)
*30%)","Rs.18,000
(i.e.5,000+13,000)
(Rs.5,000+(25,000-5,000)
*65%)","Rs.25,000",,,175,,,,,,,,,,,,,,,,
"Rs.40,000","Rs.15,500
(i.e.5,000+10,500)
(Rs.5,000+(40,000-5,000)
*30%)","Rs.27,750
(i.e.5,000+22,750)
(Rs.5,000+(40,000-5,000)
*65%)","Rs.40,000",,,175,,,,,,,,,,,,,,,,
"Rs.50,000","Rs.18,500
(i.e.5,000+13,500)
(Rs.5,000+(50,000-5,000)
*30%)","Rs.34,250
(i.e.5,000+29,250)
(Rs.5,000+(50,000-5,000)
*65%)","Rs.50,000",,,175,,,,,,,,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,178,"2nd
Slab",Years,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Primary Level Unskilled,PL 1 - 2025,"40,000",10,450,10,178,490,10,540,12,590,"61,880",,,,,,,,,,
Primary Level Semi-skilled,PL 2 - 2025,"41,800",10,490,10,178,540,10,590,12,630,"65,560",,,,,,,,,,
Primary Level Skilled,PL 3 - 2025,"42,780",10,490,10,178,540,10,590,12,630,"66,540",,,,,,,,,,
Management Assistants Seg 2,MN 1 - 2025,"45,230",10,540,11,178,630,10,890,10,"1,190","78,360",,,,,,,,,,
