0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,page
Service Category,Salary Code,,Initial,,Years,,1st,,Years,,2nd,,Years,,3rd,,Years,,4th,,Maximum,190
,,,step,,,,Slab,,,,Slab,,,,Slab,,,,Slab,,,190
"Junior Manager/MA
Supra/Spl - C1",JM 1-1 - 2025,"72,650",,,10,"1,360",,,18,"2,040",,,,,,,,,,,"122,970",190
"Junior Manager/MA
Supra/Spl - C 2",JM1-2 - 2025,"74,010",,,10,"1,360",,,18,"2,040",,,,,,,,,,,"124,330",190
Academic/Research Staff,AR 1 - 2025,"91,650",,,10,"2,480",,,15,"3,450",,,,,,,,,,,"168,200",190
"Senior Academic/Research
Staff",AR 2 - 2025,"133,220",,,10,"3,600",,,,,,,,,,,,,,,"169,220",190
Middle Manager - C 1,MM 1-1 - 2025,"91,690",,,10,"2,480",,,15,"3,450",,,,,,,,,,,"168,240",190
Middle Manager - C 2,MM 1-2 - 2025,"94,170",,,10,"2,480",,,15,"3,450",,,,,,,,,,,"170,720",190
Middle Manager - C 3,MM 1-3 - 2025,"96,650",,,10,"2,480",,,15,"3,450",,,,,,,,,,,"173,200",190
Senior Manager - C 1-1,HM 1-1 - 2025,"140,640",,,15,"4,100",,,,,,,,,,,,,,,"202,140",190
Senior Manager - C 1-2,HM 1-2 - 2025,"143,120",,,15,"4,100",,,,,,,,,,,,,,,"204,620",190
Senior Manager - C 1-3,HM 1-3 - 2025,"152,500",,,15,"4,100",,,,,,,,,,,,,,,"214,000",190
Senior Manager - C 2-1,HM 2-1 - 2025,"161,140",,,12,"4,850",,,,,,,,,,,,,,,"219,340",190
Senior Manager - C 2-2,HM 2-2 - 2025,"163,620",,,12,"4,850",,,,,,,,,,,,,,,"221,820",190
Senior Manager - C 2-3,HM 2-3 - 2025,"173,000",,,12,"4,850",,,,,,,,,,,,,,,"231,200",190
