0,1,2,3,4,5,6,page
,Public Sector,,Universities,,SOEs,,173
,Present,New,Present,New,Present,New,173
Basic salary,"24,250","40,000","27,025","42,775","24,750","40,500",173
"Interim allowance as per PA circular
No.09/2019","2,500",-,-,-,-,-,173
"Monthly allowance as per PA circular
No.03/2022","5,000",-,"5,000",-,"5,000",-,173
Cost of Living Allowance (COLA),"17,800","17,800","17,800","17,800","17,800","17,800",173
"Monthly
Compensation Allowance (MCA)",-,-,"12,161","15,399",-,-,173
"Monthly
Compensation Allowance (MCA)(fixed)",,,,(330),,,173
Backlog allowance,-,-,"5,405",-,-,-,173
Total gross salary,"49,550","57,800","67,391","75,644","47,550","58,300",173
Net salary increase,"8,250",,"8,253",,"10,750",,173
